cluster_id,feature,cluster_size
1,C1,2
1,C14,2
2,C10,266
2,C4,266
2,C7,266
2,C8,266
2,D12,266
2,D13,266
2,D14,266
2,D6,266
2,D7,266
2,D9,266
2,DeviceInfo,266
2,DeviceType,266
2,M8,266
2,M9,266
2,P_emaildomain,266
2,ProductCD,266
2,R_emaildomain,266
2,V100,266
2,V101,266
2,V102,266
2,V103,266
2,V105,266
2,V126,266
2,V127,266
2,V128,266
2,V131,266
2,V132,266
2,V133,266
2,V134,266
2,V136,266
2,V138,266
2,V139,266
2,V14,266
2,V140,266
2,V141,266
2,V142,266
2,V146,266
2,V147,266
2,V148,266
2,V149,266
2,V153,266
2,V154,266
2,V155,266
2,V156,266
2,V157,266
2,V158,266
2,V161,266
2,V162,266
2,V163,266
2,V167,266
2,V168,266
2,V169,266
2,V170,266
2,V171,266
2,V172,266
2,V174,266
2,V175,266
2,V176,266
2,V177,266
2,V178,266
2,V179,266
2,V186,266
2,V187,266
2,V188,266
2,V189,266
2,V19,266
2,V190,266
2,V191,266
2,V192,266
2,V193,266
2,V194,266
2,V195,266
2,V196,266
2,V197,266
2,V198,266
2,V199,266
2,V20,266
2,V200,266
2,V201,266
2,V202,266
2,V203,266
2,V204,266
2,V205,266
2,V206,266
2,V207,266
2,V208,266
2,V209,266
2,V210,266
2,V211,266
2,V212,266
2,V213,266
2,V214,266
2,V215,266
2,V216,266
2,V217,266
2,V218,266
2,V219,266
2,V220,266
2,V221,266
2,V222,266
2,V223,266
2,V224,266
2,V225,266
2,V226,266
2,V227,266
2,V228,266
2,V229,266
2,V23,266
2,V230,266
2,V231,266
2,V232,266
2,V233,266
2,V24,266
2,V240,266
2,V241,266
2,V242,266
2,V243,266
2,V244,266
2,V245,266
2,V246,266
2,V247,266
2,V248,266
2,V249,266
2,V25,266
2,V250,266
2,V251,266
2,V252,266
2,V253,266
2,V254,266
2,V255,266
2,V256,266
2,V257,266
2,V258,266
2,V259,266
2,V26,266
2,V260,266
2,V261,266
2,V262,266
2,V263,266
2,V264,266
2,V265,266
2,V266,266
2,V267,266
2,V268,266
2,V269,266
2,V27,266
2,V270,266
2,V271,266
2,V272,266
2,V273,266
2,V274,266
2,V275,266
2,V276,266
2,V277,266
2,V278,266
2,V279,266
2,V28,266
2,V280,266
2,V281,266
2,V284,266
2,V285,266
2,V286,266
2,V287,266
2,V288,266
2,V289,266
2,V290,266
2,V292,266
2,V293,266
2,V294,266
2,V295,266
2,V297,266
2,V299,266
2,V300,266
2,V301,266
2,V302,266
2,V303,266
2,V304,266
2,V306,266
2,V307,266
2,V308,266
2,V309,266
2,V311,266
2,V312,266
2,V313,266
2,V314,266
2,V315,266
2,V316,266
2,V317,266
2,V318,266
2,V319,266
2,V321,266
2,V322,266
2,V323,266
2,V324,266
2,V325,266
2,V326,266
2,V327,266
2,V328,266
2,V329,266
2,V330,266
2,V331,266
2,V332,266
2,V333,266
2,V334,266
2,V335,266
2,V336,266
2,V337,266
2,V338,266
2,V339,266
2,V37,266
2,V41,266
2,V44,266
2,V45,266
2,V46,266
2,V55,266
2,V56,266
2,V61,266
2,V62,266
2,V65,266
2,V66,266
2,V67,266
2,V68,266
2,V77,266
2,V78,266
2,V82,266
2,V83,266
2,V86,266
2,V87,266
2,V88,266
2,V89,266
2,V95,266
2,V96,266
2,V97,266
2,V99,266
2,addr1,266
2,addr2,266
2,card1,266
2,card2,266
2,card3,266
2,card5,266
2,dist1,266
2,has_identity,266
2,id_03,266
2,id_04,266
2,id_06,266
2,id_09,266
2,id_10,266
2,id_12,266
2,id_13,266
2,id_14,266
2,id_15,266
2,id_16,266
2,id_17,266
2,id_18,266
2,id_19,266
2,id_20,266
2,id_28,266
2,id_29,266
2,id_30,266
2,id_31,266
2,id_32,266
2,id_33,266
2,id_34,266
2,id_36,266
2,id_37,266
2,id_38,266
3,C12,5
3,V51,5
3,V52,5
3,V73,5
3,V74,5
4,D3,2
4,D5,2
5,M1,12
5,M2,12
5,M3,12
5,V1,12
5,V2,12
5,V3,12
5,V4,12
5,V5,12
5,V6,12
5,V7,12
5,V8,12
5,V9,12
6,V10,2
6,V11,2
7,V12,3
7,V35,3
7,V36,3
8,V13,4
8,V54,4
8,V75,4
8,V76,4
9,V130,2
9,V310,2
10,V15,33
10,V16,33
10,V17,33
10,V18,33
10,V21,33
10,V22,33
10,V31,33
10,V32,33
10,V33,33
10,V34,33
10,V39,33
10,V40,33
10,V42,33
10,V43,33
10,V50,33
10,V57,33
10,V58,33
10,V59,33
10,V60,33
10,V63,33
10,V64,33
10,V71,33
10,V72,33
10,V79,33
10,V80,33
10,V81,33
10,V84,33
10,V85,33
10,V92,33
10,V93,33
10,V94,33
10,id_01,33
10,id_02,33
11,V150,3
11,V159,3
11,V160,3
12,V173,13
12,V180,13
12,V181,13
12,V182,13
12,V183,13
12,V184,13
12,V185,13
12,V234,13
12,V235,13
12,V236,13
12,V237,13
12,V238,13
12,V239,13
13,V282,2
13,V283,2
14,V29,8
14,V30,8
14,V48,8
14,V49,8
14,V69,8
14,V70,8
14,V90,8
14,V91,8
15,V296,3
15,V298,3
15,V320,3
