feature_a,feature_b,encoded_feature_a,encoded_feature_b,correlation
ProductCD,card3,ProductCD__C,card3__150.0,-1.0
ProductCD,addr1,ProductCD__C,addr1____missing__,1.0
ProductCD,addr2,ProductCD__C,addr2__87.0,-1.0
ProductCD,R_emaildomain,ProductCD__C,R_emaildomain____missing__,-1.0
ProductCD,C4,ProductCD__C,C4,0.9999999999999998
ProductCD,C7,ProductCD__C,C7,0.9999999999999998
ProductCD,D6,ProductCD__C,D6,0.9999999999999998
ProductCD,D12,ProductCD__C,D12,0.9999999999999998
ProductCD,D13,ProductCD__C,D13,0.9999999999999998
ProductCD,D14,ProductCD__C,D14,0.9999999999999998
ProductCD,id_13,ProductCD__C,id_13__52.0,1.0
ProductCD,V14,ProductCD__H,V14,-1.0000000000000002
ProductCD,V19,ProductCD__H,V19,-1.0000000000000002
ProductCD,V23,ProductCD__H,V23,-1.0000000000000002
ProductCD,V24,ProductCD__H,V24,-1.0000000000000002
ProductCD,V25,ProductCD__H,V25,-1.0000000000000002
ProductCD,V26,ProductCD__H,V26,-1.0000000000000002
ProductCD,V27,ProductCD__H,V27,-1.0
ProductCD,V28,ProductCD__H,V28,-1.0
ProductCD,V41,ProductCD__H,V41,-1.0000000000000002
ProductCD,V44,ProductCD__H,V44,-1.0000000000000002
ProductCD,V61,ProductCD__H,V61,-1.0000000000000002
ProductCD,V65,ProductCD__H,V65,-1.0000000000000002
ProductCD,V68,ProductCD__H,V68,-1.0
ProductCD,V82,ProductCD__H,V82,-1.0000000000000002
ProductCD,V83,ProductCD__H,V83,-1.0000000000000002
ProductCD,V86,ProductCD__H,V86,-1.0000000000000002
ProductCD,V87,ProductCD__H,V87,-1.0000000000000002
ProductCD,V88,ProductCD__H,V88,-1.0000000000000002
ProductCD,V89,ProductCD__H,V89,-1.0
ProductCD,V138,ProductCD__H,V138,1.0
ProductCD,V139,ProductCD__H,V139,1.0
ProductCD,V140,ProductCD__H,V140,1.0
ProductCD,V141,ProductCD__H,V141,1.0
ProductCD,V142,ProductCD__H,V142,1.0
ProductCD,V146,ProductCD__H,V146,1.0
ProductCD,V147,ProductCD__H,V147,1.0
ProductCD,V148,ProductCD__H,V148,1.0
ProductCD,V149,ProductCD__H,V149,1.0
ProductCD,V153,ProductCD__H,V153,1.0
ProductCD,V154,ProductCD__H,V154,1.0
ProductCD,V155,ProductCD__H,V155,1.0
ProductCD,V156,ProductCD__H,V156,1.0
ProductCD,V157,ProductCD__H,V157,1.0
ProductCD,V158,ProductCD__H,V158,1.0
ProductCD,V161,ProductCD__H,V161,1.0
ProductCD,V162,ProductCD__H,V162,1.0
ProductCD,V163,ProductCD__H,V163,1.0
ProductCD,V322,ProductCD__H,V322,1.0
ProductCD,V323,ProductCD__H,V323,1.0
ProductCD,V324,ProductCD__H,V324,1.0
ProductCD,V325,ProductCD__H,V325,1.0
ProductCD,V326,ProductCD__H,V326,1.0
ProductCD,V327,ProductCD__H,V327,1.0
ProductCD,V328,ProductCD__H,V328,1.0
ProductCD,V329,ProductCD__H,V329,1.0
ProductCD,V330,ProductCD__H,V330,1.0
ProductCD,V331,ProductCD__H,V331,1.0
ProductCD,V332,ProductCD__H,V332,1.0
ProductCD,V333,ProductCD__H,V333,1.0
ProductCD,V334,ProductCD__H,V334,1.0
ProductCD,V335,ProductCD__H,V335,1.0
ProductCD,V336,ProductCD__H,V336,1.0
ProductCD,V337,ProductCD__H,V337,1.0
ProductCD,V338,ProductCD__H,V338,1.0
ProductCD,V339,ProductCD__H,V339,1.0
ProductCD,id_14,ProductCD__H,id_14____missing__,-1.0000000000000002
ProductCD,id_17,ProductCD__H,id_17__166.0,1.0
ProductCD,id_30,ProductCD__H,id_30____missing__,-1.0000000000000002
ProductCD,id_32,ProductCD__H,id_32____missing__,-1.0000000000000002
ProductCD,id_33,ProductCD__H,id_33____missing__,-1.0000000000000002
ProductCD,id_34,ProductCD__H,id_34____missing__,-1.0000000000000002
ProductCD,C8,ProductCD__W,C8,-1.0
ProductCD,C10,ProductCD__W,C10,-1.0
