feature,feature_type,n_missing,missing_fraction,n_unique,variance,most_frequent_fraction,is_constant,is_near_zero_variance,is_likely_identifier,is_duplicate,duplicate_of,missingness_class_0,missingness_class_1,n_invalid_or_infinite
TransactionDT,numeric,0,0.0,573349,21318754202165.21,1.3546923155078402e-05,False,False,True,False,,0.0,0.0,0
TransactionAmt,numeric,0,0.0,20902,57198.71193596982,0.051786500491075964,False,False,False,False,,0.0,0.0,0
ProductCD,categorical,0,0.0,5,,0.7445219629491652,False,False,False,False,,0.0,0.0,0
card1,categorical,0,0.0,13553,,0.02528533206895384,False,False,False,False,,0.0,0.0,0
card2,categorical,8933,0.015126833068039422,500,,0.08413757055881377,False,False,False,False,,0.014933046955746591,0.020471373953443353,0
card3,categorical,1565,0.0026501168422122124,114,,0.88507491829025,False,False,False,False,,0.0026777708172114334,0.0018874316410976142,0
card4,categorical,1577,0.00267043722694483,4,,0.653295707879782,False,False,False,False,,0.002695318463457904,0.001984223007307748,0
card5,categorical,4259,0.007212043214684865,119,,0.505808648071488,False,False,False,False,,0.007105041965195998,0.010163093452064075,0
card6,categorical,1571,0.0026602770345785214,4,,0.7469629131584175,False,False,False,False,,0.002688299404959316,0.0018874316410976142,0
addr1,categorical,65706,0.1112642666034477,332,,0.08828505775159384,False,False,False,False,,0.10171493146766758,0.37463098291632385,0
addr2,categorical,65706,0.1112642666034477,74,,0.9917059489286136,False,False,False,False,,0.10171493146766758,0.37463098291632385,0
dist1,numeric,352271,0.596523520845328,2651,138288.80408664752,0.08320008058119184,False,False,False,False,,0.5902378934401634,0.7698785268354063,0
dist2,numeric,552913,0.9362837403054831,1751,279897.5990405821,0.151141467563186,False,False,False,False,,0.9405204982829628,0.819435706334995,0
P_emaildomain,categorical,94456,0.1599485216920107,59,,0.46031518855677667,False,False,False,False,,0.16085225408289858,0.135023955863137,0
R_emaildomain,categorical,453249,0.7675161716395164,60,,0.41624724126126256,False,False,False,False,,0.7787873523584914,0.4566616657794125,0
