feature,lda_loading,abs_lda_loading
V95,23.3218239588227,23.3218239588227
V101,-22.361688929366466,22.361688929366466
V96,-19.30691576644486,19.30691576644486
V102,17.34612179951912,17.34612179951912
V97,-15.090094296803404,15.090094296803404
V103,14.073978060271134,14.073978060271134
V127,14.048409373885642,14.048409373885642
id_14__360.0,13.31079212888908,13.31079212888908
V133,-12.536066707520638,12.536066707520638
DeviceInfo__hi6210sft Build/MRA58K,11.26173493722354,11.26173493722354
addr2__10.0,10.393306655967628,10.393306655967628
id_22__42.0,10.34362322966087,10.34362322966087
V308,-10.336016770795341,10.336016770795341
V318,10.28661631147524,10.28661631147524
V279,-10.192909785653926,10.192909785653926
V293,9.5630053246492,9.5630053246492
V316,-6.560030582800383,6.560030582800383
id_22__37.0,-6.531911747342845,6.531911747342845
V280,6.511198241561618,6.511198241561618
V306,6.457609651962839,6.457609651962839
V177,-6.377663214689318,6.377663214689318
V307,6.291569691087425,6.291569691087425
id_32__0.0,6.079393760085827,6.079393760085827
V167,6.050135152753448,6.050135152753448
V295,-5.8924508405327085,5.8924508405327085
id_14__300.0,5.890295541306877,5.890295541306877
id_24__17.0,5.758504983396921,5.758504983396921
V317,-5.685460826205086,5.685460826205086
id_13__28.0,5.446980863780684,5.446980863780684
V126,-5.3791592006186,5.3791592006186
id_24__23.0,-5.339278868307339,5.339278868307339
V128,-5.276524773375519,5.276524773375519
V168,-5.231181806356066,5.231181806356066
V132,4.9944365715821455,4.9944365715821455
id_14__240.0,4.9458087184606745,4.9458087184606745
V134,4.759615359856757,4.759615359856757
addr2__65.0,4.441344596925727,4.441344596925727
V179,4.439306781551761,4.439306781551761
id_21__770.0,4.399637775847752,4.399637775847752
id_26__199.0,-3.9459397166155292,3.9459397166155292
id_25__463.0,3.8832406088113216,3.8832406088113216
id_26__215.0,-3.810377992694556,3.810377992694556
id_22__20.0,3.809118876871567,3.809118876871567
id_22__22.0,-3.7291475561224887,3.7291475561224887
id_25__123.0,-3.483064745050227,3.483064745050227
id_22__17.0,-3.453948653710237,3.453948653710237
V264,-3.4394366525596656,3.4394366525596656
id_32__16.0,3.3526714016029584,3.3526714016029584
C7,-3.186872828935773,3.186872828935773
V265,2.9704737005434345,2.9704737005434345
