feature,feature_type,missing_fraction,n_unique,most_frequent_fraction,is_constant,is_near_constant,is_likely_identifier,signed_auc,prediction_power,train_signed_auc,heldout_signed_auc,abs_auc_delta,stable,importance,permutation_importance,prediction_power_rank_score,importance_rank_score,permutation_importance_rank_score,composite_score
card1,categorical,0.0,12573,0.025400480915772006,False,False,False,0.6917350237906916,0.6917350237906916,0.6917350237906916,0.7154899659121801,0.02375494212148843,True,1.152713454420768,0.0,1.0,0.1763945023161355,0.0,0.5081748344924242
C11,numeric,0.0,1259,0.6603425113737709,False,False,False,0.20701732386869143,0.20701732386869143,0.20701732386869143,0.2148116649739511,0.007794341105259672,True,6.534860436607411,0.0,0.29927257800861573,1.0,0.0,0.4835035089380881
C12,numeric,0.0,974,0.8288594619613687,False,False,False,0.32743212805849153,0.32743212805849153,0.32743212805849153,0.32538670847826334,0.0020454195802281916,True,3.2196054486986534,0.0,0.4733490669073993,0.4926815928099789,0.0,0.38513882465478805
R_emaildomain,categorical,0.7680405504566442,60,0.7680405504566442,False,False,False,0.3725449696627685,0.3725449696627685,0.3725449696627685,0.3608331886516152,0.011711781011153333,True,2.6966039502773675,0.0,0.53856600699677,0.4126490498819767,0.0,0.38502510345556534
card2,categorical,0.015005475214775178,500,0.08275363791332227,False,False,False,0.4973593780198722,0.4973593780198722,0.4973593780198722,0.5052785667982402,0.007919188778368058,True,1.1165011625488999,0.0,0.7190027408101364,0.17085309982970873,0.0,0.3821619399882042
C14,numeric,0.0,982,0.5424075140267101,False,False,False,-0.18025305589919782,0.18025305589919782,-0.18025305589919782,-0.17516008474700562,0.005092971152192205,True,4.67890846372246,0.0,0.26058107468870856,0.7159921025262977,0.0,0.3670947738212942
V168,numeric,0.7638590668427767,834,0.7638590668427767,False,False,False,0.3699555122970897,0.3699555122970897,0.3699555122970897,0.37030978640470114,0.00035427410761146305,True,2.1558752653075692,0.0,0.534822583176058,0.3299037961439307,0.0,0.35608334996346014
DeviceInfo,categorical,0.7994061932017024,1665,0.7994061932017024,False,False,False,0.29571638697851865,0.29571638697851865,0.29571638697851865,0.2908793014468549,0.004837085531663732,True,3.069951821650521,0.0,0.42749951471012676,0.469780778247851,0.0,0.3560724911765553
id_13,categorical,0.7847100393989682,52,0.7847100393989682,False,False,False,0.3305353741306274,0.3305353741306274,0.3305353741306274,0.31560344034688037,0.01493193378374702,True,2.6493921018119315,0.0,0.47783524436756336,0.40542443522900545,0.0,0.35468462222799335
id_17,categorical,0.7642993418453167,101,0.7642993418453167,False,False,False,0.3532667444596487,0.3532667444596487,0.3532667444596487,0.3359861793272809,0.017280565132367753,True,2.281307803562584,0.0,0.5106966284918685,0.3490981675420341,0.0,0.34940575669119756
V218,numeric,0.7793838407784965,337,0.7793838407784965,False,False,False,0.4741139628128108,0.4741139628128108,0.4741139628128108,0.4795930978113858,0.005479134998574997,True,0.6462303927989151,0.0,0.685398232714425,0.09888970071630286,0.0,0.342218729722411
V219,numeric,0.7793838407784965,313,0.7793838407784965,False,False,False,0.4676054502845135,0.4676054502845135,0.4676054502845135,0.4723136026971455,0.004708152412632005,True,0.6657436086443346,0.0,0.6759892649674534,0.10187571947442492,0.0,0.3391454481895079
C8,numeric,0.0,1041,0.7585283525812533,False,False,False,0.36892373123608424,0.36892373123608424,0.36892373123608424,0.3586843706382763,0.010239360597807945,True,1.8017400455428314,0.0,0.5333309989342319,0.27571209255667123,0.0,0.3349622778255681
id_19,categorical,0.7643873968458247,510,0.7643873968458247,False,False,False,0.3862386598465686,0.3862386598465686,0.3862386598465686,0.3707031462478132,0.01553551359875538,True,1.5130856406997484,0.0,0.5583621568414879,0.23154062055000377,0.0,0.32997186073135765
V264,numeric,0.7793838407784965,10758,0.7793838407784965,False,False,False,0.46011966961401995,0.46011966961401995,0.46011966961401995,0.46562479905064214,0.00550512943662218,True,0.4997898732776176,0.0,0.6651675190488043,0.07648057339952692,0.0,0.32526781484630307
D5,numeric,0.5241598085368194,682,0.5241598085368194,False,False,False,-0.4894780005106615,0.4894780005106615,-0.4894780005106615,-0.4947300532976232,0.005252052786961725,True,0.10514352165211781,0.0,0.7076091041745054,0.016089635375090477,0.0,0.3232676613417648
addr2,categorical,0.11101251961481581,69,0.8816450480351317,False,False,False,0.2915234311643602,0.2915234311643602,0.2915234311643602,0.28409279068138704,0.00743064048297315,True,2.4383143159016964,0.0,0.4214380089746196,0.373124160730746,0.0,0.31912596422189393
V258,numeric,0.7793838407784965,65,0.7793838407784965,False,False,False,0.48797505000382113,0.48797505000382113,0.48797505000382113,0.49863722456319914,0.010662174559378013,True,0.021732188591218275,0.0,0.7054363784122558,0.003325578075007918,0.0,0.31701099642786124
C4,numeric,0.0,1060,0.7657443469818584,False,False,False,0.3782288664770701,0.3782288664770701,0.3782288664770701,0.3668761901424924,0.011352676334577705,True,1.3008633773205571,0.0,0.5467828770681363,0.19906521186486173,0.0,0.3140222173831763
card3,categorical,0.002643907835766135,109,0.882992966889062,False,False,False,0.2884150924995992,0.2884150924995992,0.2884150924995992,0.2733525579786187,0.015062534520980497,True,2.3375825997996396,0.0,0.41694446945752617,0.3577096439129466,0.0,0.310564006447271
V257,numeric,0.7793838407784965,47,0.7793838407784965,False,False,False,0.4523454648897749,0.4523454648897749,0.4523454648897749,0.46660389075157327,0.014258425861798374,True,0.30468874969640836,0.0,0.6539288157059511,0.046625134943905286,0.0,0.30844800041877507
V217,numeric,0.7793838407784965,256,0.7793838407784965,False,False,False,0.4304936876080967,0.4304936876080967,0.4304936876080967,0.43880695469452236,0.008313267086425657,True,0.49749489257064455,0.0,0.6223390067037541,0.07612938292970191,0.0,0.30545084697912117
