feature,feature_type,missing_fraction,n_unique,most_frequent_fraction,is_constant,is_near_constant,is_likely_identifier
TransactionDT,numeric,0.0,433187,1.5804743680924805e-05,False,False,False
TransactionAmt,numeric,0.0,17881,0.05169280093925334,False,False,False
ProductCD,categorical,0.0,5,0.7449723981440716,False,False,False
card1,categorical,0.0,12573,0.025400480915772006,False,False,False
card2,categorical,0.015005475214775178,500,0.08275363791332227,False,False,False
card3,categorical,0.002643907835766135,109,0.882992966889062,False,False,False
card4,categorical,0.0026687438615504455,4,0.6515121752971856,False,False,False
card5,categorical,0.007209220939027557,114,0.5019925266140595,False,False,False
card6,categorical,0.0026574547589212133,4,0.7454894390444904,False,False,False
addr1,categorical,0.11101251961481581,304,0.11101251961481581,False,False,False
addr2,categorical,0.11101251961481581,69,0.8816450480351317,False,False,False
dist1,numeric,0.5960352671566137,2539,0.5960352671566137,False,False,False
dist2,numeric,0.9363317189916573,1574,0.9363317189916573,False,False,False
P_emaildomain,categorical,0.16007721746198394,59,0.38669692146171303,False,False,False
R_emaildomain,categorical,0.7680405504566442,60,0.7680405504566442,False,False,False
C1,numeric,0.0,1396,0.5370113229699371,False,False,False
C2,numeric,0.0,1095,0.5360133662975131,False,False,False
C3,numeric,0.0,25,0.9958952822840113,False,True,False
C4,numeric,0.0,1060,0.7657443469818584,False,False,False
C5,numeric,0.0,316,0.6299364423521975,False,False,False
C6,numeric,0.0,1142,0.5785303846197266,False,False,False
C7,numeric,0.0,877,0.8861539156252469,False,False,False
C8,numeric,0.0,1041,0.7585283525812533,False,False,False
C9,numeric,0.0,205,0.38816902044456486,False,False,False
C10,numeric,0.0,1032,0.7681985978934535,False,False,False
C11,numeric,0.0,1259,0.6603425113737709,False,False,False
C12,numeric,0.0,974,0.8288594619613687,False,False,False
C13,numeric,0.0,1457,0.3375170747677267,False,False,False
C14,numeric,0.0,982,0.5424075140267101,False,False,False
D1,numeric,0.002090741806933767,641,0.4742822953003466,False,False,False
D2,numeric,0.4754744245379935,641,0.4754744245379935,False,False,False
D3,numeric,0.444641627437035,639,0.444641627437035,False,False,False
D4,numeric,0.28586717241846443,790,0.28586717241846443,False,False,False
D5,numeric,0.5241598085368194,682,0.5241598085368194,False,False,False
D6,numeric,0.8762195053115228,805,0.8762195053115228,False,False,False
D7,numeric,0.9339181088495275,576,0.9339181088495275,False,False,False
D8,numeric,0.8732843386279224,10977,0.8732843386279224,False,False,False
D9,numeric,0.8732843386279224,24,0.8732843386279224,False,False,False
D10,numeric,0.1284654722796085,803,0.37562908524401395,False,False,False
D11,numeric,0.4720944672108014,673,0.4720944672108014,False,False,False
D12,numeric,0.8906334315485263,631,0.8906334315485263,False,False,False
D13,numeric,0.8951648773438999,544,0.8951648773438999,False,False,False
D14,numeric,0.8945010781093011,781,0.8945010781093011,False,False,False
