feature,signed_auc,prediction_power
card1,0.6917350237906916,0.6917350237906916
card2,0.4973593780198722,0.4973593780198722
D5,-0.4894780005106615,0.4894780005106615
V258,0.48797505000382113,0.48797505000382113
V218,0.4741139628128108,0.4741139628128108
V219,0.4676054502845135,0.4676054502845135
V264,0.46011966961401995,0.46011966961401995
V257,0.4523454648897749,0.4523454648897749
V265,0.4518782716401486,0.4518782716401486
V217,0.4304936876080967,0.4304936876080967
V232,0.42375944350336336,0.42375944350336336
V229,0.42334331500891254,0.42334331500891254
V274,0.4198778412658555,0.4198778412658555
V263,0.41648856292865233,0.41648856292865233
V246,0.41201562300804406,0.41201562300804406
D2,-0.40832494566840405,0.40832494566840405
V52,0.4069349504798454,0.4069349504798454
V233,0.40659274102987086,0.40659274102987086
V230,0.40423454493111377,0.40423454493111377
D3,-0.40318079847969657,0.40318079847969657
V275,0.40222515885955246,0.40222515885955246
V51,0.3992931022787687,0.3992931022787687
V201,0.39307864662582825,0.39307864662582825
V243,0.3892378486120487,0.3892378486120487
id_19,0.3862386598465686,0.3862386598465686
V199,0.3837877107447809,0.3837877107447809
V231,0.38021151087658667,0.38021151087658667
addr1,0.3787124594109301,0.3787124594109301
C4,0.3782288664770701,0.3782288664770701
V40,0.3779603205231403,0.3779603205231403
id_20,0.37784728633679565,0.37784728633679565
V273,0.37605503655772576,0.37605503655772576
D8,-0.37564451241433994,0.37564451241433994
V39,0.3731282542024963,0.3731282542024963
V50,0.37271563220310977,0.37271563220310977
R_emaildomain,0.3725449696627685,0.3725449696627685
V168,0.3699555122970897,0.3699555122970897
C8,0.36892373123608424,0.36892373123608424
V200,0.3685311660106738,0.3685311660106738
V94,0.366958749972516,0.366958749972516
V43,0.3668350161860079,0.3668350161860079
id_31,0.36200893511205967,0.36200893511205967
V42,0.36196678039849073,0.36196678039849073
V204,0.3614500437941288,0.3614500437941288
ProductCD,0.3609560153546467,0.3609560153546467
V244,0.3599176868053928,0.3599176868053928
C10,0.3588632697407781,0.3588632697407781
V203,0.3584664181992765,0.3584664181992765
V228,0.3582070023611157,0.3582070023611157
V171,0.3568342639198676,0.3568342639198676
V140,0.3553298981292301,0.3553298981292301
V34,0.35358112352465176,0.35358112352465176
V79,0.3534486380679067,0.3534486380679067
id_17,0.3532667444596487,0.3532667444596487
V242,0.34886300321921015,0.34886300321921015
V93,0.3477358748871011,0.3477358748871011
V33,0.3470108512054877,0.3470108512054877
V92,0.3453898366174195,0.3453898366174195
V158,0.3445706855876358,0.3445706855876358
V190,0.3445332168692059,0.3445332168692059
V170,0.34401334371173053,0.34401334371173053
V167,0.34391751445252683,0.34391751445252683
V74,0.3437853372537494,0.3437853372537494
id_15,0.3427327912727276,0.3427327912727276
V178,0.34198599722281764,0.34198599722281764
id_29,0.3414276463378345,0.3414276463378345
M4,0.3407119993078458,0.3407119993078458
id_28,0.34025188082394897,0.34025188082394897
V212,0.33950525403972454,0.33950525403972454
V81,0.33780322820895203,0.33780322820895203
V80,0.3345867335659132,0.3345867335659132
V179,0.3340334819287498,0.3340334819287498
DeviceType,0.33345687967168347,0.33345687967168347
V187,0.33344981318860567,0.33344981318860567
V202,0.33344307142470586,0.33344307142470586
V85,0.3311683953216884,0.3311683953216884
V213,0.33076092787501943,0.33076092787501943
id_13,0.3305353741306274,0.3305353741306274
V15,0.32993147267447953,0.32993147267447953
V16,0.3299197209386049,0.3299197209386049
V73,0.32846334762245455,0.32846334762245455
V84,0.3282931449226991,0.3282931449226991
V303,0.3275275851660453,0.3275275851660453
C12,0.32743212805849153,0.32743212805849153
V32,0.32379148480872955,0.32379148480872955
